,afinidad,pageranks,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality,protected,verified,followers_count,friends_count,statuses_count
0,,0.000266,0.320755,0.355198,1e-06,0.005914,0.013885,0.620879,0.069047,,,,,
1,,0.002817,0.41027600000000003,0.508049,0.02887,0.1193,0.137382,0.136201,0.48248100000000005,False,False,4557.0,4126.0,18797.0
2,,0.002089,0.34467,0.38659099999999996,0.004461,0.042358,0.022055,0.285014,0.48372200000000004,,,,,
3,,0.000727,0.361454,0.41007299999999997,0.0029879999999999998,0.019821000000000002,0.033001,0.470999,0.23518899999999998,False,False,383.0,839.0,2067.0
4,,0.000272,0.313411,0.344271,9.300000000000001e-05,0.004358,0.008175,0.34444400000000003,0.055201,,,,,
5,fa,0.001398,0.365718,0.42194799999999993,0.0006889999999999999,0.039649000000000004,0.043128,0.434414,0.48026899999999995,,,,,
6,,0.000503,0.324308,0.361112,0.001307,0.013487,0.012294,0.588095,0.153721,False,False,3801.0,1121.0,9160.0
7,,0.001218,0.384812,0.441176,0.002489,0.037009,0.045718,0.39566399999999996,0.425838,False,False,1193.0,2027.0,13615.0
8,,0.000687,0.350166,0.389058,0.000625,0.018905,0.016772,0.534483,0.228555,False,False,768.0,816.0,16193.0
9,,0.000305,0.315853,0.34796900000000003,0.000144,0.006924,0.013991,0.24736799999999998,0.06955599999999999,,,,,
10,,0.0011710000000000002,0.37549,0.430313,0.001243,0.029067000000000003,0.042759,0.41090600000000005,0.381859,,,,,
11,fa,0.002931,0.387358,0.460595,0.018306,0.052288999999999995,0.053176999999999995,0.224834,0.659068,False,False,3149.0,4848.0,29161.0
12,fa,0.003351,0.374956,0.438488,0.0054329999999999995,0.05449,0.047804,0.275656,0.64289,False,False,3598.0,2682.0,132182.0
13,fa,0.002708,0.373494,0.43891499999999994,0.008374,0.048639999999999996,0.040998,0.24225700000000003,0.60014,False,False,2326.0,2067.0,28941.0
14,fa,0.001532,0.387358,0.44024399999999997,0.010333,0.03519,0.032507999999999995,0.267932,0.389484,,,,,
15,,0.002025,0.387358,0.45351,0.017672,0.044328,0.057785,0.24943400000000002,0.525673,,,,,
16,,0.000604,0.352273,0.390006,0.000297,0.020971,0.018921,0.5789920000000001,0.236096,,,,,
17,,0.0005639999999999999,0.341875,0.383232,0.000962,0.013987999999999999,0.025304,0.45098,0.172652,False,False,378.0,1650.0,5568.0
18,,0.00044100000000000004,0.350166,0.391113,0.0008710000000000001,0.012117000000000001,0.018638,0.355615,0.134731,,,,,
19,,0.001325,0.366227,0.423688,0.003469,0.036707,0.040116000000000006,0.356369,0.42953,,,,,
20,,0.001523,0.34774,0.394522,0.010448,0.030967,0.044081,0.227273,0.340857,False,False,4057.0,3424.0,19991.0
21,,0.000465,0.339125,0.375633,4.1e-05,0.014842,0.01611,0.677866,0.168951,False,False,279.0,566.0,3782.0
22,fa,0.0065780000000000005,0.403059,0.487634,0.027333,0.070923,0.077519,0.145653,0.789006,False,False,5628.0,5096.0,50714.0
23,fa,0.002878,0.389361,0.46848500000000004,0.015030000000000002,0.054684,0.05595599999999999,0.197903,0.647766,,,,,
24,,0.0016079999999999998,0.366992,0.41683400000000004,0.002832,0.042111,0.043535000000000004,0.43891199999999997,0.522879,False,False,1968.0,2251.0,64573.0
25,,0.002951,0.461067,0.555392,0.075836,0.041569999999999996,0.094749,0.088399,0.44218999999999997,False,False,2127.0,4914.0,8241.0
26,,0.000449,0.396987,0.443817,0.009975,0.016873,0.039314,0.24646500000000002,0.141627,False,False,531.0,3599.0,11012.0
27,,0.000923,0.358138,0.40155,0.00149,0.017296000000000002,0.033043,0.364744,0.221458,,,,,
28,fa,0.001999,0.388357,0.44886099999999995,0.0092,0.048056,0.044132,0.337939,0.59127,False,False,4489.0,5003.0,55360.0
29,fa,0.002303,0.374822,0.451416,0.007953,0.051123,0.05653,0.21396500000000002,0.619318,False,False,1976.0,2856.0,12588.0
30,fa,0.002229,0.336097,0.374266,0.008498,0.027527999999999997,0.016551,0.249153,0.322612,False,False,3777.0,807.0,33383.0
31,,0.000303,0.313971,0.34786100000000003,1e-06,0.010454999999999999,0.013602000000000001,0.6875,0.11307400000000001,False,False,174.0,286.0,13471.0
32,,0.002006,0.370605,0.429712,0.004370000000000001,0.041748,0.040295,0.33960300000000004,0.519072,,,,,
33,,0.000816,0.355241,0.39769099999999996,0.000261,0.021804,0.027317,0.550607,0.27822600000000003,,,,,
34,fa,0.0013449999999999998,0.36866,0.42655,0.000621,0.036969999999999996,0.048063999999999996,0.420868,0.469728,False,False,1142.0,1850.0,42656.0
35,,0.001503,0.349585,0.402476,0.001459,0.03377,0.031160000000000004,0.374592,0.415364,,,,,
36,,0.0012369999999999998,0.366736,0.424083,0.0019,0.031557,0.043851999999999995,0.364167,0.382909,False,False,651.0,1311.0,3837.0
37,fa,0.0026899999999999997,0.386789,0.470209,0.010305,0.056497000000000006,0.06312100000000001,0.178506,0.658241,,,,,
38,fa,0.00217,0.380094,0.45271999999999996,0.005963,0.045582,0.058499,0.240896,0.571591,,,,,
39,fa,0.001673,0.391822,0.448071,0.011452,0.034955,0.045485000000000005,0.290163,0.453955,False,False,1289.0,3437.0,41013.0
40,,0.000386,0.343211,0.380085,0.000193,0.009133,0.032292,0.438746,0.125398,,,,,
41,fa,0.001707,0.34088,0.388902,0.000839,0.037563,0.034732,0.369778,0.470504,,,,,
42,fa,0.001349,0.34970100000000004,0.398491,0.00047599999999999997,0.033020999999999995,0.041462,0.40765999999999997,0.4226,False,False,931.0,1408.0,31212.0
43,,0.000225,0.321538,0.358724,7.000000000000001e-06,0.006365999999999999,0.016881,0.535948,0.069259,False,False,167.0,505.0,23671.0
