Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
1052916459834364032,MillorLujan,,,5,0.000266,7,13,20,7,0.320755,0.355198,0.000001,0.005914,0.013885,0,2,0.620879,0.069047
1192212972497784832,MonicaBatlle4,,,3,0.002817,142,205,347,6,0.410276,0.508049,0.02887,0.1193,0.137382,0,2,0.136201,0.482481
427830008,ubidominans,,,5,0.002089,84,37,121,6,0.34467,0.386591,0.004461,0.042358,0.022055,0,2,0.285014,0.483722
1367991289,laresistencia72,,,5,0.000727,29,54,83,6,0.361454,0.410073,0.002988,0.019821,0.033001,0,2,0.470999,0.235189
938192801023561600,Sofamansillaeco,,,5,0.000272,6,9,15,7,0.313411,0.344271,0.000093,0.004358,0.008175,0,2,0.344444,0.055201
1045117028733001600,Mabel546,,fa,5,0.001398,64,73,137,6,0.365718,0.421948,0.000689,0.039649,0.043128,0,2,0.434414,0.480269
107947032,nolosvote,,,5,0.000503,18,17,35,7,0.324308,0.361112,0.001307,0.013487,0.012294,0,2,0.588095,0.153721
1200462903943606272,Rojoazulyblanc1,,,5,0.001218,60,82,142,6,0.384812,0.441176,0.002489,0.037009,0.045718,0,2,0.395664,0.425838
2592262008,tatitadani,,,5,0.000687,27,27,54,6,0.350166,0.389058,0.000625,0.018905,0.016772,0,2,0.534483,0.228555
997278299339591552,OliveraA17,,,5,0.000305,10,17,27,7,0.315853,0.347969,0.000144,0.006924,0.013991,0,2,0.247368,0.069556
1050900657010561024,FerrariLylian,,,5,0.001171,47,76,123,6,0.37549,0.430313,0.001243,0.029067,0.042759,0,2,0.410906,0.381859
1039958979420610560,congresofa,,fa,5,0.002931,106,133,239,6,0.387358,0.460595,0.018306,0.052289,0.053177,0,2,0.224834,0.659068
2648567151,LeytonLujan,,fa,5,0.003351,108,100,208,6,0.374956,0.438488,0.005433,0.05449,0.047804,0,2,0.275656,0.64289
781730772,zurdodesuarez,,fa,5,0.002708,106,102,208,6,0.373494,0.438915,0.008374,0.04864,0.040998,0,2,0.242257,0.60014
1197555217627308032,LindolfoCuestas,,fa,5,0.001532,66,77,143,6,0.387358,0.440244,0.010333,0.03519,0.032508,0,2,0.267932,0.389484
1203176333863456768,enanogarcia2,,,5,0.002025,87,113,200,6,0.387358,0.45351,0.017672,0.044328,0.057785,0,2,0.249434,0.525673
1191022286708625408,barea_fernanda,,,5,0.000604,28,29,57,6,0.352273,0.390006,0.000297,0.020971,0.018921,0,2,0.578992,0.236096
156331376,MarSolCentena,,,5,0.000564,19,33,52,7,0.341875,0.383232,0.000962,0.013988,0.025304,0,2,0.45098,0.172652
1254204598312669184,sgodoyc84,,,5,0.000441,17,31,48,6,0.350166,0.391113,0.000871,0.012117,0.018638,0,2,0.355615,0.134731
1177235154810613760,AidaFue98173627,,,5,0.001325,61,79,140,6,0.366227,0.423688,0.003469,0.036707,0.040116,0,2,0.356369,0.42953
165841068,NelVillarreal,,,5,0.001523,55,47,102,7,0.34774,0.394522,0.010448,0.030967,0.044081,0,2,0.227273,0.340857
124640849,RosarioHP,,,5,0.000465,19,22,41,6,0.339125,0.375633,0.000041,0.014842,0.01611,0,2,0.677866,0.168951
992864842431246336,LemaCelina,,fa,5,0.006578,172,167,339,6,0.403059,0.487634,0.027333,0.070923,0.077519,0,2,0.145653,0.789006
1234156371756621824,ClaudiaPrezUbi1,,fa,5,0.002878,121,149,270,6,0.389361,0.468485,0.01503,0.054684,0.055956,0,2,0.197903,0.647766
2362903020,OmarSenande,,,5,0.001608,68,57,125,7,0.366992,0.416834,0.002832,0.042111,0.043535,0,2,0.438912,0.522879
3374895262,Sodoma_Uy,,,5,0.002951,104,237,341,6,0.461067,0.555392,0.075836,0.04157,0.094749,0,2,0.088399,0.44219
51648209,cdanmatt,,,5,0.000449,18,52,70,6,0.396987,0.443817,0.009975,0.016873,0.039314,0,2,0.246465,0.141627
1196593015969734912,ElZurdoNecio,,,5,0.000923,31,40,71,6,0.358138,0.40155,0.00149,0.017296,0.033043,0,2,0.364744,0.221458
3066030407,rossanaricci081,,fa,5,0.001999,86,94,180,6,0.388357,0.448861,0.0092,0.048056,0.044132,0,2,0.337939,0.59127
75576640,fernando_britos,,fa,5,0.002303,103,138,241,7,0.374822,0.451416,0.007953,0.051123,0.05653,0,2,0.213965,0.619318
554177556,unPUTEmas,,fa,5,0.002229,59,26,85,7,0.336097,0.374266,0.008498,0.027528,0.016551,0,2,0.249153,0.322612
970952952,manugcapurro,,,5,0.000303,11,12,23,7,0.313971,0.347861,0.000001,0.010455,0.013602,0,2,0.6875,0.113074
1202334318678421504,DavidGalMen1,,,5,0.002006,82,86,168,6,0.370605,0.429712,0.00437,0.041748,0.040295,0,2,0.339603,0.519072
918980969889239040,semilla2024,,,5,0.000816,32,37,69,6,0.355241,0.397691,0.000261,0.021804,0.027317,0,2,0.550607,0.278226
1123338441943592960,DANIELLATORREA3,,fa,5,0.001345,59,82,141,6,0.36866,0.42655,0.000621,0.03697,0.048064,0,2,0.420868,0.469728
1267591433873231872,LaVerda51352064,,,5,0.001503,64,63,127,7,0.349585,0.402476,0.001459,0.03377,0.03116,0,2,0.374592,0.415364
716381190719148032,ojopterouy,,,5,0.001237,51,79,130,6,0.366736,0.424083,0.0019,0.031557,0.043852,0,2,0.364167,0.382909
1190967700870307840,Mercedi97449162,,fa,5,0.00269,119,160,279,6,0.386789,0.470209,0.010305,0.056497,0.063121,0,2,0.178506,0.658241
725328137656111104,elisouto55,,fa,5,0.00217,91,126,217,6,0.380094,0.45272,0.005963,0.045582,0.058499,0,2,0.240896,0.571591
119449145,tozurdo,,fa,5,0.001673,61,85,146,6,0.391822,0.448071,0.011452,0.034955,0.045485,0,2,0.290163,0.453955
1112524675681263616,Manya09270302,,,5,0.000386,11,23,34,7,0.343211,0.380085,0.000193,0.009133,0.032292,0,2,0.438746,0.125398
1038253025515778048,Viruviru20,,fa,5,0.001707,67,49,116,7,0.34088,0.388902,0.000839,0.037563,0.034732,0,2,0.369778,0.470504
559954428,arielsaporiti,,fa,5,0.001349,53,51,104,7,0.349701,0.398491,0.000476,0.033021,0.041462,0,2,0.40766,0.4226
2557772984,CristinaFigliol,,,5,0.000225,7,16,23,7,0.321538,0.358724,0.000007,0.006366,0.016881,0,2,0.535948,0.069259
