screen_names,texts
MillorLujan,@raffo_laura @AdelaKdeRaffo @fritopendej @majodevivo @BAlzogaray @AvernoGeorge11 @ana_pfeiff @limbergrodrigu1… https://t.co/ijIcayyz0Y
carolavanee,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
Nemonaresusana1,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
delplata1981,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
fer_andres_lope,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
awaleman1,"RT @esantacruz21: @ElsaLevrero ¿ Siguen haciendo Política y Terrorismo con el bichito ?
La gente ya se dio cuenta q lo usan según les Conve…"
WilliamsTolmeo,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
macarmen58,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
MeliAguiar3,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
HansHagen18,@portalmvd Sáquense el veneno con la Rural del Prado p... de mie... Lo que hicieron es totalmente despreciable por… https://t.co/FLwg2VlJv8
PosseNancy59,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
AliciaB11037130,@Beaconsecuente Hay que cuidarse!!!Podrían ser los que fueron a la Rural del Prado...o los que pasan por la fronter… https://t.co/OBh79K3CM7
Miguela74303931,@negrojefe6 @LuisLacallePou Exacto..jaa hoy les dió una lección ..en la entrevista cuando fue a votar todo somos gr… https://t.co/h8PHLPoyC3
Gerardo96602630,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
CarreSaba,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Tincho_ll,@camboue @mfbarcelo Las de la rural del prado te faltaron y la de los actos del gobierno... Aca el problema es de t… https://t.co/VJ8APqCUn2
