id_str,screen_name,location,description,protected,verified,followers_count,friends_count,statuses_count,created_at
1192212972497784832,MonicaBatlle4,"Montevideo, Uruguay",Medica Diabetologa Tricolor a muerte,False,False,4557,4126,18797,2019-11-06 22:51:51
1200462903943606272,Rojoazulyblanc1,,obrero y frenteamplista,False,False,1193,2027,13615,2019-11-29 17:14:06
1039958979420610560,congresofa,Uruguay,"Grupo Político Congreso Frenteamplista. Anti - imperialista, la Patria Grande como la soñó don José Artigas!!! La Patria compañeros la vamos a encontrar!!!",False,False,3149,4848,29161,2018-09-12 19:28:36
716381190719148032,ojopterouy,Uruguay,Ingeniero Agrónomo,False,False,651,1311,3837,2016-04-02 21:46:00
1293553798204489728,LadiLilian,,"Nolesimportanada,total hacen lo que quieren",False,False,438,599,5938,2020-08-12 14:24:23
807191335941836800,carlo_abbiati,"La Blanqueada ,Montevideo, Uru","Artesano, Ceramista ,Pensador",False,False,97,565,4471,2016-12-09 11:53:06
1514371080,ifloriani6,,Técnica Asesora en Relaciones Laborales egresada del CURE.,False,False,107,60,10784,2013-06-13 20:32:28
181276679,gloriasaravista,"Montevideo, Uruguay",Representante Nacional. Senadora de la República Periodo 2020 - 2025. Presidente comisión derechos humanos @pnacional.,False,False,12370,1702,8891,2010-08-21 19:41:20
795431102936649728,PFassanello,"Canelones, Uruguay","Amo a los animales Libertaria🐍, objetivista y anti socialista Uruguaya y Republicana si no te gusta ,no me importa .Odio al zurdo promedio hipocrita 👌👍😃",False,False,266,401,5103,2016-11-07 01:02:08
2364733458,gime_rodriguezz,Uruguay,,False,False,872,1289,41483,2014-02-27 22:53:07
1258332181,MeDicenMisil,"Montevideo, Uruguay","Poeta casual, seducido por las artes.
Loco, rayado y frontal que ama discutir.
Leonino de pura sangre con ascendente en escorpio.
Dicen que soy músico...",False,False,528,2052,11742,2013-03-11 01:19:58
1185309602725928960,corbella_brian,"saransi grande,florida uruguay",estudiante: esc. agraria,False,False,34,202,431,2019-10-18 21:40:13
361371672,Yula1101,,"💕ɴᴇɴᴏ #1👭👭
ᴅᴏɴᴅᴇ sᴇᴀs ғᴇʟɪᴢ, ϙᴜéᴅᴀᴛᴇ. 
libra♎ ✊🏼♀️👩🏽‍⚕️",False,False,222,298,28716,2011-08-24 17:49:54
2885952256,nathanaelcarro7,Uruguay,SRK Crew - 1552 San Ramón,False,False,564,417,19143,2014-11-20 18:21:00
161810458,leturbia,Montevihell,la reina del martes santo,False,False,838,535,48227,2010-07-01 21:06:44
3410413594,vasco_ROU,"Maldonado, Uruguay","Maldonado, Uruguayo",False,False,750,1472,36171,2015-08-09 13:37:30
4785037341,Jomsito31,San José de Carrasco,ITS ALL ABOUT BARS,False,False,639,642,12957,2016-01-12 14:50:39
150863910,PatyEmme,Uruguay,"(...) sobre todo ten fe en la Libertad, sin la cual no hay Derecho, ni Justicia, ni Paz
E.J.Couture",False,False,2695,1799,38618,2010-06-02 01:09:14
326963241,cuadradodaniel,mercedes soriano uy,#PolìticamenteIncorrecto,False,False,2233,5002,27039,2011-06-30 19:36:10
2511472682,carlosbaz2,,,False,False,314,285,50867,2014-05-20 23:28:04
317913130,NicoleCesan,"Montevideo, Uruguay","Trabajo Social 📚
TODO PASA",False,False,756,604,10281,2011-06-15 17:32:47
345604140,florenciagaralv,"montevideo,uruguay",Un dia mas para contar lo que es necesario decir... #yosilosvote,False,False,48,399,334,2011-07-30 21:42:27
2870050867,marueugesilva23,,"Nacional ✌ Géminiana. 
Estudiante de Educación Social.",False,False,590,554,35827,2014-10-22 02:54:17
2544230452,rico_cookie,,,False,False,196,221,4241,2014-05-13 01:47:19
1249459134275051520,mauroo_parada,"Montevideo, Uruguay",all we need is love,False,False,99,172,843,2020-04-12 22:07:34
952711440837828608,cosmomylife1,,"Fui espectadora, ahora quiero ser protagonista con voz y voto.",False,False,16,130,2335,2018-01-15 01:18:02
3307333696,garciafausto_,Uruguay,"💈💈✂️

 20",False,False,304,272,1928,2015-06-03 17:50:13
3102363717,malfoyfixed,uruwhy,no one asked your opinion you filthy little mudblood,False,False,539,399,27218,2015-03-21 18:21:36
2353225799,micaelaa1205,,"FCEA 📚📝 
Futura contadora 🔜
Ya me acostumbre a callarle la boca al que no me cree🎵",True,False,445,881,25342,2014-02-19 20:32:56
144871496,lolycafe,"Montevideo, Uruguay",técnico en gastronomía y pastelera aficionada,False,False,107,186,4475,2010-05-17 14:37:38
2691496008,laabri4,"Nueva York, USA",Ig:abri_lima,False,False,718,699,38813,2014-07-30 01:51:17
709095660340056064,panconpaltita2,"Montevideo, Uruguay",Cocino,False,False,75,382,2776,2016-03-13 19:15:54
1291421676220055552,LilianLopez32,"Montevideo, Uruguay","Psicóloga🧠
Atención Presencial 🛋️
A distancia 🖥️
Individual 👩🏻‍🦱
Familiar 👭👬
Grupal 👫👫👫👫
098138188",False,False,41,101,154,2020-08-06 17:11:59
809084415133552640,Jose_Vinagres,,"«La crítica, como la lluvia, debe ser lo suficientemente gentil como para nutrir el crecimiento de un hombre sin destruir sus raíces». Frank A. Clark.",False,False,970,2570,9665,2016-12-14 17:15:31
719861868152688640,Manuel_Rimoldi,"Canelones, Uruguay","Liceo Los Cerrillos 📚
@PartidoColorado",False,False,182,246,1266,2016-04-12 12:16:58
789287198675898368,Jovenes404Ch,"Montevideo, Uruguay",,False,False,724,324,3174,2016-10-21 02:08:27
1548132433,Flor_Rolando98,"La ruta,el rock & roll,la vida",•NoTeVaGustar• Rock y fernet #Med ~ 22💫 -America Latina será toda feminista 💜 @HermanasLuisi -Frenteamplista💈UJC Santa Lucía 🇻🇳,False,False,1532,1552,44372,2013-06-26 12:40:59
742163975996116992,goncaseba,"Montevideo, Uruguay",,True,False,127,304,6478,2016-06-13 01:17:35
759580941178310656,Belusartt,"Montevideo, Uruguay",पल और खुशी 🤍,False,False,367,309,2845,2016-07-31 02:46:23
1904623699,menas_dahiana,Uruguay,Subiste y solo brilla tu luz 1-9-14🌠 AMOR POR PATRICIO FONTANET. siempre aguada❤️💚,False,False,298,246,15987,2013-09-25 15:32:39
978359321363927040,MariquenaAlvar2,Colonia del Sacramento/Uruguay,♌🌈🇺🇾,False,False,358,373,2801,2018-03-26 19:53:34
532766807,floumpierre,"Montevideo, Uruguay","desinteresada, individualista y profundamente cheta",False,False,152,263,4743,2012-03-22 02:44:13
229251166,afilosi,Montevideo,"Periodista. Simple seguidora más que tuitera, pero de vez en cuando algo se me da por decir. Bolsilluda.",False,False,868,1555,9334,2010-12-21 22:50:28
1222131806,chiesagustin,"Montevideo, Uruguay",,False,False,175,296,1468,2013-02-26 15:31:33
483344480,JUrruzola,"Montevideo, Uruguay","Fotógrafo, sesentista militante, francouruguayo, vasco, padre, abuelo, hijo de emigrantes, FA. #ArribaLosQueLuchan #EducarNoLUCrar",False,False,9696,2536,79696,2012-02-04 22:29:08
2980325470,Lewaandowski9,Piriapolis,Jugador de @maldosad.,False,False,1014,603,28489,2015-01-15 20:00:57
1130289429493506048,yaasreyes16,,Desde el cielo me guía tu estrella 👵🏽✨. yaas_reyes 📸 17🎈,False,False,468,547,4392,2019-05-20 01:49:34
